name,value,parent
Origin,,
University of Connecticut,3867,Origin
Yale University,2775,Origin
University of Bridgeport,841,Origin
University of New Haven,766,Origin
Wesleyan University,407,Origin
University of Hartford,373,Origin
Trinity College,295,Origin
Sacred Heart University,260,Origin
Fairfield University,227,Origin
Quinnipiac University,183,Origin
Central CT State University,166,Origin
Post University,152,Origin
Connecticut College,137,Origin
UConn-Stamford,125,Origin
Holy Apostles College and Seminary,119,Origin
Norwalk Community College,110,Origin
Southern Connecticut State University,65,Origin
Eastern Connecticut State University,48,Origin
Gateway Community College,44,Origin
University of Saint Joseph,34,Origin
United States Coast Guard Academy,31,Origin
Naugatuck Valley Community College,23,Origin
UConn-Hartford Campus,21,Origin
Tunxis Community College,20,Origin
Hartford Seminary,17,Origin
Albertus Magnus College,16,Origin
Three Rivers Community College,15,Origin
UConn-Waterbury Campus,12,Origin
Housatonic Community College,12,Origin
Goodwin College,8,Origin
Charter Oak State College,6,Origin
UConn-Avery Point,5,Origin
Paier College of Art Inc,2,Origin
Manchester Community College,2,Origin
International Institute of Cosmetology,2,Origin
Capital Community College,2,Origin
Asnuntuck Community College,1,Origin
Northwestern Connecticut Community College,1,Origin
New England Tractor Trailer Training School of Connecticut,1,Origin
Mitchell College,1,Origin
Western Connecticut State University,1,Origin
Paul Mitchell the School-North Haven,1,Origin
