Office Name,Vote Totals,variable,value
State Senator 04,51678,"Harold S. Harris, Independent Party",763
State Senator 04,51678,"Kelly Elizabeth Green, Reclaim Party",769
State Senator 04,51678,"Matthew M. Corey, Republican Party",20006
State Senator 04,51678,"Steve Cassano, Democratic Party",28991
State Senator 04,51678,"Steve Cassano, Working Families Party",1149
State Senator 17,46138,"George Logan, Independent Party",1458
State Senator 17,46138,"George Logan, Republican Party",21196
State Senator 17,46138,"Jorge Cabrera, Democratic Party",22308
State Senator 17,46138,"Jorge Cabrera, Working Families Party",1176
State Senator 35,56053,"Dan Champagne, Republican Party",28228
State Senator 35,56053,"Lisa Thomas, Democratic Party",25718
State Senator 35,56053,"Lisa Thomas, Independent Party",1133
State Senator 35,56053,"Lisa Thomas, Working Families Party",974
State Senator 08,55379,"Keith James McConnell, Independent Party",1056
State Senator 08,55379,"Kevin Witkos, Republican Party",28401
State Senator 08,55379,"Melissa E. Osborne, Democratic Party",25922
State Senator 26,62851,"Kim Healy, Independent Party",1310
State Senator 26,62851,"Kim Healy, Republican Party",24868
State Senator 26,62851,"Will Haskell, Democratic Party",36673
State Senator 24,32912,"Julie Kushner, Democratic Party",18187
State Senator 24,32912,"Julie Kushner, Working Families Party",757
State Senator 24,32912,"Susan Chapman, Independent Party",651
State Senator 24,32912,"Susan Chapman, Republican Party",13317
State Senator 32,55488,"Eric C. Berthel, Republican Party",32415
State Senator 32,55488,"Jeffrey Desmarais, Democratic Party",23073
State Senator 02,17040,"Douglas McCrory, Democratic Party",17040
State Senator 05,59982,"Derek Slap, Democratic Party",35401
State Senator 05,59982,"Joelle Nawrocki, Independent Party",2104
State Senator 05,59982,"Phillip Chabot, Republican Party",22477
State Senator 20,50675,"Joseph Taraya, Independent Party",586
State Senator 20,50675,"Martha Marx, Democratic Party",23327
State Senator 20,50675,"Martha Marx, Working Families Party",1104
State Senator 20,50675,"Paul M. Formica, Republican Party",25658
State Senator 12,37179,"Christine Cohen, Democratic Party",21122
State Senator 12,37179,"Christine Cohen, Independent Party",666
State Senator 12,37179,"Christine Cohen, Working Families Party",537
State Senator 12,37179,"Joe LaPorta, Republican Party",14854
State Senator 30,36125,"Craig Miner, Republican Party",19691
State Senator 30,36125,"David R. Gronbach, Democratic Party",15209
State Senator 30,36125,"David R. Gronbach, Working Families Party",632
State Senator 30,36125,"Joseph A. Bongiorno, Independent Party",593
State Senator 29,25819,"Jessica Alba, Independent Party",766
State Senator 29,25819,"Jessica Alba, Republican Party",11768
State Senator 29,25819,"Mae Flexer, Democratic Party",12505
State Senator 29,25819,"Mae Flexer, Working Families Party",780
State Senator 16,74561,"Jack Perry, Democratic Party",22113
State Senator 16,74561,"Jack Perry, Independent Party",1483
State Senator 16,74561,"Jack Perry, Working Families Party",816
State Senator 16,74561,"Paul J. Small, Write In",4
State Senator 16,74561,"Rob Sampson, Republican Party",50145
State Senator 13,43784,"Len Suzio, Independent Party",1446
State Senator 13,43784,"Len Suzio, Republican Party",19914
State Senator 13,43784,"Mary Daugherty Abrams, Democratic Party",21462
State Senator 13,43784,"Mary Daugherty Abrams, Working Families Party",962
State Senator 33,50266,"Brendan Saunders, Republican Party",22976
State Senator 33,50266,"Norm Needleman, Democratic Party",25529
State Senator 33,50266,"Norm Needleman, Independent Party",1761
State Senator 19,48019,"Catherine A. Osten, Democratic Party",24212
State Senator 19,48019,"Catherine A. Osten, Working Families Party",1379
State Senator 19,48019,"Steve Weir, Republican Party",21557
State Senator 19,48019,"William H. Russell, Independent Party",871
State Senator 09,42050,"Matt Lesser, Democratic Party",20907
State Senator 09,42050,"Matt Lesser, Working Families Party",1153
State Senator 09,42050,"Richard Ruglio, Independent Party",949
State Senator 09,42050,"Richard Ruglio, Republican Party",19041
State Senator 25,52110,"Bob Duff, Democratic Party",30860
State Senator 25,52110,"Bob Duff, Working Families Party",927
State Senator 25,52110,"Ellie Kousidis, Independent Party",1356
State Senator 25,52110,"Ellie Kousidis, Republican Party",18967
State Senator 27,3851,"Carlo Leone, Democratic Party",1636
State Senator 27,3851,"Eva A. Maldonado, Independent Party",125
State Senator 27,3851,"Eva A. Maldonado, Republican Party",2090
State Senator 34,48712,"April Capone, Democratic Party",20831
State Senator 34,48712,"April Capone, Working Families Party",893
State Senator 34,48712,"David Bedell, Write In",0
State Senator 34,48712,"Paul Cicarella, Independent Party",1175
State Senator 34,48712,"Paul Cicarella, Republican Party",25813
State Senator 03,30605,"Saud Anwar, Democratic Party",27524
