percentage,Town,Reported,Total Precincts
0.00%,Andover,,
0.00%,Ansonia,,
0.00%,Ashford,,
0.00%,Avon,,
0.00%,Barkhamsted,,
0.00%,Beacon Falls,,
0.00%,Berlin,,
0.00%,Bethany,,
0.00%,Bethel,,
0.00%,Bethlehem,,
0.00%,Bloomfield,,
0.00%,Bolton,,
0.00%,Bozrah,,
0.00%,Branford,,
0.00%,Bridgeport,,
87.20%,Bridgewater,1,1
0.00%,Bristol,,
0.00%,Brookfield,,
0.00%,Brooklyn,,
0.00%,Burlington,,
0.00%,Canaan,,
0.00%,Canterbury,,
0.00%,Canton,,
0.00%,Chaplin,,
0.00%,Cheshire,,
0.00%,Chester,,
0.00%,Clinton,,
0.00%,Colchester,,
0.00%,Colebrook,,
0.00%,Columbia,,
0.00%,Cornwall,,
0.00%,Coventry,,
0.00%,Cromwell,,
0.00%,Danbury,,
0.00%,Darien,,
0.00%,Deep River,,
0.00%,Derby,,
0.00%,Durham,,
0.00%,Eastford,,
0.00%,East Granby,,
0.00%,East Haddam,,
0.00%,East Hampton,,
0.00%,East Hartford,,
0.00%,East Haven,,
0.00%,East Lyme,,
0.00%,Easton,,
0.00%,East Windsor,,
0.00%,Ellington,,
0.00%,Enfield,,
0.00%,Essex,,
0.00%,Fairfield,,
0.00%,Farmington,,
0.00%,Franklin,,
0.00%,Glastonbury,,
0.00%,Goshen,,
0.00%,Granby,,
0.00%,Greenwich,,
0.00%,Griswold,,
0.00%,Groton,,
0.00%,Guilford,,
0.00%,Haddam,,
0.00%,Hamden,,
0.00%,Hampton,,
0.00%,Hartford,,
0.00%,Hartland,,
0.00%,Harwinton,,
0.00%,Hebron,,
0.00%,Kent,,
0.00%,Killingly,,
0.00%,Killingworth,,
0.00%,Lebanon,,
0.00%,Ledyard,,
0.00%,Lisbon,,
0.00%,Litchfield,,
0.00%,Lyme,,
0.00%,Madison,,
0.00%,Manchester,,
0.00%,Mansfield,,
0.00%,Marlborough,,
0.00%,Meriden,,
0.00%,Middlebury,,
0.00%,Middlefield,,
0.00%,Middletown,,
0.00%,Milford,,
0.00%,Monroe,,
0.00%,Montville,,
0.00%,Morris,,
0.00%,Naugatuck,,
0.00%,New Britain,,
0.00%,New Canaan,,
0.00%,New Fairfield,,
0.00%,New Hartford,,
0.00%,New Haven,,
0.00%,Newington,,
0.00%,New London,,
0.00%,New Milford,,
0.00%,Newtown,,
0.00%,Norfolk,,
0.00%,North Branford,,
0.00%,North Canaan,,
0.00%,North Haven,,
0.00%,North Stonington,,
0.00%,Norwalk,,
0.00%,Norwich,,
0.00%,Old Lyme,,
0.00%,Old Saybrook,,
0.00%,Orange,,
0.00%,Oxford,,
0.00%,Plainfield,,
0.00%,Plainville,,
0.00%,Plymouth,,
0.00%,Pomfret,,
0.00%,Portland,,
0.00%,Preston,,
0.00%,Prospect,,
0.00%,Putnam,,
0.00%,Redding,,
0.00%,Ridgefield,,
0.00%,Rocky Hill,,
87.96%,Roxbury,1,1
0.00%,Salem,,
0.00%,Salisbury,,
0.00%,Scotland,,
0.00%,Seymour,,
0.00%,Sharon,,
0.00%,Shelton,,
0.00%,Sherman,,
0.00%,Simsbury,,
0.00%,Somers,,
0.00%,Southbury,,
0.00%,Southington,,
0.00%,South Windsor,,
0.00%,Sprague,,
0.00%,Stafford,,
0.00%,Stamford,,
0.00%,Sterling,,
0.00%,Stonington,,
0.00%,Stratford,,
0.00%,Suffield,,
0.00%,Thomaston,,
0.00%,Thompson,,
0.00%,Tolland,,
0.00%,Torrington,,
0.00%,Trumbull,,
0.00%,Union,,
0.00%,Vernon,,
0.00%,Voluntown,,
0.00%,Wallingford,,
84.00%,Warren,1,1
0.00%,Washington,,
0.00%,Waterbury,,
0.00%,Waterford,,
0.00%,Watertown,,
0.00%,Westbrook,,
0.00%,West Hartford,,
0.00%,West Haven,,
0.00%,Weston,,
0.00%,Westport,,
0.00%,Wethersfield,,
0.00%,Willington,,
0.00%,Wilton,,
0.00%,Winchester,,
0.00%,Windham,,
0.00%,Windsor,,
0.00%,Windsor Locks,,
0.00%,Wolcott,,
0.00%,Woodbridge,,
0.00%,Woodbury,,
0.00%,Woodstock,,
86.70%,Total,,
