Area,District,Week,First‐Class Mail,USPS Marketing Mail,Periodicals
Northeast,Connecticut Valley,1/4/2020,92.46,91.18,84.36
Northeast,Connecticut Valley,1/11/2020,92.44,87.71,79.78
Northeast,Connecticut Valley,1/18/2020,93.74,90.23,81.22
Northeast,Connecticut Valley,1/25/2020,92.77,91.39,81.60
Northeast,Connecticut Valley,2/1/2020,92.55,90.52,84.07
Northeast,Connecticut Valley,2/8/2020,93.22,92.44,83.54
Northeast,Connecticut Valley,2/15/2020,94.39,92.42,85.21
Northeast,Connecticut Valley,2/22/2020,93.69,91.38,75.28
Northeast,Connecticut Valley,2/29/2020,93.05,93.00,80.46
Northeast,Connecticut Valley,3/7/2020,92.84,91.18,79.39
Northeast,Connecticut Valley,3/14/2020,91.80,88.08,72.54
Northeast,Connecticut Valley,3/21/2020,93.10,91.94,76.63
Northeast,Connecticut Valley,3/28/2020,91.85,92.28,77.38
Northeast,Connecticut Valley,4/1/2020,91.16,89.72,75.20
Northeast,Connecticut Valley,4/4/2020,91.53,87.06,64.29
Northeast,Connecticut Valley,4/11/2020,86.67,76.93,45.70
Northeast,Connecticut Valley,4/18/2020,89.55,84.38,32.11
Northeast,Connecticut Valley,4/25/2020,89.32,82.61,37.14
Northeast,Connecticut Valley,5/2/2020,89.61,77.66,32.75
Northeast,Connecticut Valley,5/9/2020,88.49,81.58,28.04
Northeast,Connecticut Valley,5/16/2020,90.49,86.70,51.21
Northeast,Connecticut Valley,5/23/2020,91.55,87.42,54.02
Northeast,Connecticut Valley,5/30/2020,89.85,89.28,60.10
Northeast,Connecticut Valley,6/6/2020,90.48,85.55,43.43
Northeast,Connecticut Valley,6/13/2020,91.74,88.89,64.63
Northeast,Connecticut Valley,6/20/2020,90.72,88.19,68.96
Northeast,Connecticut Valley,6/27/2020,91.18,84.50,74.46
Northeast,Connecticut Valley,7/1/2020,91.01,91.72,74.05
Northeast,Connecticut Valley,7/4/2020,91.77,90.17,70.87
Northeast,Connecticut Valley,7/11/2020,87.46,87.90,68.07
Northeast,Connecticut Valley,7/18/2020,85.52,85.40,59.72
Northeast,Connecticut Valley,7/25/2020,86.73,88.14,62.89
Northeast,Connecticut Valley,8/1/2020,82.33,74.75,65.70
Northeast,Connecticut Valley,8/8/2020,76.70,55.77,61.48
Northeast,Connecticut Valley,8/15/2020,87.69,85.77,67.18
Northeast,Connecticut Valley,8/22/2020,89.78,89.80,76.07
Northeast,Connecticut Valley,8/29/2020,90.81,92.01,79.41
Northeast,Connecticut Valley,9/5/2020,90.89,92.09,80.60
Northeast,Connecticut Valley,9/12/2020,88.34,87.25,76.78
Northeast,Connecticut Valley,9/19/2020,85.82,91.94,81.11
