Town,Margins of Error,Poverty Status
Andover,1.62,2.23
Ansonia,3.41,14.48
Ashford,3.83,9.98
Avon,1.18,3.24
Barkhamsted,1.25,2.29
Beacon Falls,3.46,3.46
Berlin,1.63,3.77
Bethany,2.47,3.11
Bethel,1.01,2.94
Bethlehem,3.55,6.18
Bloomfield,1.84,6.53
Bolton,2.07,4.68
Bozrah,1.99,3.87
Branford,1.5,6.11
Bridgeport,1.3,21.38
Bridgewater,1.36,2.46
Bristol,1.76,10.81
Brookfield,1.52,3.76
Brooklyn,3.19,8.02
Burlington,1.29,2.14
Canaan,2.41,5.27
Canterbury,1.52,3.28
Canton,1.87,3.49
Chaplin,2.34,5.28
Cheshire,0.75,2.09
Chester,3.4,4.19
Clinton,2.38,7.69
Colchester,2.68,6.86
Colebrook,2.55,4.28
Columbia,2.01,2.29
Connecticut,0.19,10.03
Cornwall,3.37,6.99
Coventry,1.84,3.66
Cromwell,1.94,4.43
Danbury,1.52,11.71
Darien,1.02,3.07
Deep River,3.15,4.74
Derby,5.5,13.18
Durham,1.99,4.53
East Granby,2.3,3.75
East Haddam,1.62,3.29
East Hampton,1.75,5.65
East Hartford,1.99,14.05
East Haven,2.28,9.34
East Lyme,1.49,6.5
East Windsor,3.77,7.0
Eastford,1.32,2.9
Easton,1.38,3.2
Ellington,1.64,3.57
Enfield,1.62,8.38
Essex,3.23,5.71
Fairfield,1.11,5.02
Farmington,1.84,7.01
Franklin,1.65,4.9
Glastonbury,0.86,3.86
Goshen,5.42,7.08
Granby,1.77,3.25
Greenwich,0.98,6.37
Griswold,4.96,10.33
Groton,1.88,10.09
Guilford,1.14,3.81
Haddam,2.72,5.26
Hamden,1.5,8.25
Hampton,1.68,3.66
Hartford,1.51,30.09
Hartland,1.65,2.29
Harwinton,4.22,5.01
Hebron,1.68,2.67
Kent,8.88,10.6
Killingly,3.45,9.68
Killingworth,2.18,3.58
Lebanon,3.29,4.44
Ledyard,2.02,4.37
Lisbon,1.08,2.04
Litchfield,3.2,7.44
Lyme,1.06,2.27
Madison,1.11,3.44
Manchester,1.53,9.54
Mansfield,4.7,22.18
Marlborough,1.56,2.71
Meriden,1.28,11.69
Middlebury,2.06,4.75
Middlefield,3.28,5.77
Middletown,1.64,11.44
Milford,1.07,5.31
Monroe,1.54,3.46
Montville,2.39,8.54
Morris,2.78,4.59
Naugatuck,2.01,8.62
New Britain,2.05,21.97
New Canaan,1.17,2.98
New Fairfield,1.58,3.96
New Hartford,2.21,2.94
New Haven,1.52,25.86
New London,3.43,29.04
New Milford,1.44,4.54
Newington,1.1,4.5
Newtown,0.89,3.11
Norfolk,2.05,4.22
North Branford,1.56,3.08
North Canaan,4.65,9.46
North Haven,1.28,4.36
North Stonington,2.16,3.13
Norwalk,1.35,9.68
Norwich,2.15,14.06
Old Lyme,1.25,2.91
Old Saybrook,1.68,4.31
Orange,1.14,3.42
Oxford,1.53,2.26
Plainfield,3.17,9.18
Plainville,2.35,7.57
Plymouth,1.79,5.14
Pomfret,3.21,5.45
Portland,2.08,6.23
Preston,4.84,7.29
Prospect,1.78,2.55
Putnam,3.39,8.75
Redding,2.02,4.27
Ridgefield,0.88,1.86
Rocky Hill,1.8,4.47
Roxbury,2.16,3.48
Salem,1.95,2.7
Salisbury,3.02,5.02
Scotland,1.85,3.51
Seymour,1.43,4.18
Sharon,6.84,13.07
Shelton,0.94,4.41
Sherman,0.72,0.8
Simsbury,1.75,4.12
Somers,1.06,2.21
South Windsor,1.09,4.82
Southbury,1.77,6.14
Southington,1.01,3.92
Sprague,4.58,12.29
Stafford,1.87,6.76
Stamford,0.99,9.27
Sterling,2.93,4.05
Stonington,1.99,8.67
Stratford,1.63,8.69
Suffield,1.45,2.49
Thomaston,2.87,7.59
Thompson,1.63,4.38
Tolland,1.15,2.46
Torrington,1.32,9.76
Trumbull,0.5,1.83
Union,1.51,1.95
Vernon,1.96,9.05
Voluntown,3.05,6.96
Wallingford,1.0,4.4
Warren,2.34,3.38
Washington,5.49,6.09
Waterbury,1.76,23.01
Waterford,1.45,6.12
Watertown,1.81,5.28
West Hartford,1.3,7.48
West Haven,2.19,12.86
Westbrook,2.98,6.52
Weston,1.31,2.72
Westport,1.24,4.75
Wethersfield,1.31,4.82
Willington,5.27,13.09
Wilton,1.23,2.83
Winchester,4.67,17.31
Windham,3.56,24.88
Windsor,1.49,5.29
Windsor Locks,2.7,7.15
Wolcott,2.25,5.56
Woodbridge,2.6,4.34
Woodbury,2.38,5.06
Woodstock,4.12,4.44
