,NAME,Hispanic,White alone,Black alone,Name_to_join
2,"Bethel town, Fairfield County, Connecticut",7.3,82.4,2.3,Bethel
3,"Bridgeport town, Fairfield County, Connecticut",40.0,20.3,32.9,Bridgeport
4,"Brookfield town, Fairfield County, Connecticut",6.2,85.7,1.2,Brookfield
5,"Danbury town, Fairfield County, Connecticut",30.2,50.4,8.1,Danbury
6,"Darien town, Fairfield County, Connecticut",3.6,88.9,0.8,Darien
7,"Easton town, Fairfield County, Connecticut",4.8,91.5,0.0,Easton
8,"Fairfield town, Fairfield County, Connecticut",5.8,85.4,1.8,Fairfield
9,"Greenwich town, Fairfield County, Connecticut",13.8,72.8,3.3,Greenwich
10,"Monroe town, Fairfield County, Connecticut",4.9,86.0,1.3,Monroe
11,"New Canaan town, Fairfield County, Connecticut",5.3,87.0,1.4,New Canaan
12,"New Fairfield town, Fairfield County, Connecticut",7.2,89.2,0.8,New Fairfield
13,"Newtown town, Fairfield County, Connecticut",6.9,89.0,1.4,Newtown
14,"Norwalk town, Fairfield County, Connecticut",27.9,51.7,13.5,Norwalk
15,"Redding town, Fairfield County, Connecticut",4.0,92.0,0.9,Redding
16,"Ridgefield town, Fairfield County, Connecticut",4.8,88.9,1.0,Ridgefield
17,"Shelton town, Fairfield County, Connecticut",8.1,85.0,1.6,Shelton
18,"Sherman town, Fairfield County, Connecticut",2.9,91.1,0.0,Sherman
19,"Stamford town, Fairfield County, Connecticut",26.1,50.5,12.6,Stamford
20,"Stratford town, Fairfield County, Connecticut",16.5,63.1,15.8,Stratford
21,"Trumbull town, Fairfield County, Connecticut",9.0,78.8,4.1,Trumbull
22,"Weston town, Fairfield County, Connecticut",6.4,84.4,1.4,Weston
23,"Westport town, Fairfield County, Connecticut",4.2,86.2,0.5,Westport
24,"Wilton town, Fairfield County, Connecticut",3.5,84.5,1.0,Wilton
25,"Avon town, Hartford County, Connecticut",4.6,80.3,0.8,Avon
26,"Berlin town, Hartford County, Connecticut",4.8,90.8,1.1,Berlin
