SchoolName,2014,2015,2016,2017,2018,2019
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,6.3,10,61,63.6,59.4,56.9
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,5.3,25,42.1,66.7,63.2,52.9
ACADEMY OF PUBLIC RELATIONS,6.7,8.3,26.3,17.6,62.5,33.3
ACCION ACADEMY,0,0,20,0,66.7,20.8
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,0,0,0,0,0,81.8
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG",31.3,0,35.7,0,55.6,0
BAYCHESTER MIDDLE SCHOOL,0,0,0,37.5,0,0
BLUEPRINT MIDDLE SCHOOL,,18.8,61.1,68.4,55,48.3
BRONX ALLIANCE MIDDLE SCHOOL,,,28.6,14.3,0,0
BRONX DANCE ACADEMY SCHOOL,0,33.3,0,0,0,71.4
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,9.1,23.5,20,80,0,0
BRONX GREEN MIDDLE SCHOOL,8.7,13.2,34.8,57.1,42.9,65.6
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,0,0,0,0,69.2,75
BRONX LATIN,18.8,23.1,25.8,36.8,28.6,31.6
BRONX PARK MIDDLE SCHOOL,,11.1,30,66.7,81.5,55.9
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",0,0,0,75,0,65.4
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,7.7,27.8,22.2,52.9,50,40
BRONX WRITING ACADEMY,16.7,23.1,54.5,54.5,47.1,32.4
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,15.8,38.5,32.4,65.4,50,0
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,0,0,0,0,0,0
CRESTON ACADEMY,17.1,32.5,53.5,60,63.4,61
E.S.M.T- I.S. 190,0,25,0,42.9,90.9,46.2
EAGLE ACADEMY FOR YOUNG MEN,0,0,0,0,0,0
EAST BRONX ACADEMY FOR THE FUTURE,0,0,21.4,8.3,70,52.6
EAST FORDHAM ACADEMY FOR THE ARTS,19.2,13.6,28,23.1,25,35.7
EMOLIOR ACADEMY,25,0,18.8,30,38.5,44.4
FANNIE LOU HAMER MIDDLE SCHOOL,0,5.6,23.1,53.3,33.3,23.1
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,13.3,0,0,50,0,25
HOSTOS-LINCOLN ACADEMY OF SCIENCE,54.5,0,0,0,0,0
I.S. 117 JOSEPH H. WADE,2.2,9.1,26.5,34.4,58.3,37.2
I.S. 181 PABLO CASALS,0,0,0,61.1,0,57.1
I.S. 206 ANN MERSEREAU,0,0,20,31.8,16.7,45.5
I.S. 219 NEW VENTURE SCHOOL,13.6,0,38.5,22.2,27.3,46.7
I.S. 229 ROLAND PATTERSON,7.1,7.1,5.9,31.8,45.5,22.2
I.S. 232,20.7,18.2,37.5,42.1,65.6,53.8
I.S. 254,24.1,22,33.3,55.3,41.9,31.7
I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,6.7,18.2,50,54.5,20,61.5
I.S. 339,11.8,13.3,20.8,30.3,66.7,40.5
I.S. 584,,,,,42.9,50
I.S. X303 LEADERSHIP & COMMUNITY SERVICE,21.2,12,0,50,59.5,50
"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",0,28.1,9.1,33.3,61.1,41.2
IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),9.8,13.8,37.5,48.9,63.2,48.6
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,0,0,0,52.2,0,91.7
J.H.S. 022 JORDAN L. MOTT,16.7,0,32.1,22.2,42.4,21.1
J.H.S. 080 THE MOSHOLU PARKWAY,15.4,11.5,16.7,36.5,61.4,62.5
J.H.S. 098 HERMAN RIDDER,5,16.7,33.3,22.2,25,54.5
J.H.S. 118 WILLIAM W. NILES,36.4,34.1,39.8,54.5,52.4,63.9
J.H.S. 123 JAMES M. KIERAN,12.2,8,34.8,54.5,61.5,41.7
J.H.S. 127 THE CASTLE HILL,34.2,38.3,36.7,59.6,61.8,58.3
J.H.S. 131 ALBERT EINSTEIN,20,31.3,16,0,46.2,50
J.H.S. 144 MICHELANGELO,6.3,43.8,0,0,0,75
J.H.S. 151 LOU GEHRIG,6.3,44.4,33.3,38.5,22.2,27.3
JONAS BRONCK ACADEMY,0,0,0,34.4,0,0
KAPPA,37.5,0,36,62.5,64.7,61.5
KAPPA III,0,42.9,45,47.6,47.8,46.7
LEADERS OF TOMORROW,0,0,33.3,33.3,50,42.9
M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEAD,15.2,13.8,42.4,41,56.3,54.8
M.S. 180 DR. DANIEL HALE WILLIAMS,0,0,38.5,61.5,0,73.3
M.S. 301 PAUL L. DUNBAR,0,0,0,0,16.7,33.3
M.S. 302 LUISA DESSUS CRUZ,12.2,28.1,46.7,50,35.3,38.5
M.S. 390,20.9,12.5,23.3,44.7,57.1,36.4
M.S. 594,,,,,,30
