
Andover Town Clerk,P.O. Box 328 Andover CT 06232,(860) 742-0188
Ansonia T & City Clerk,253 Main Street Ansonia CT 06401,(203) 736-5980
Ashford Town Clerk,25 Pompey Hollow Rd Ashford CT 06278,(860) 429-7044
Avon Town Clerk,60 West Main Street Avon CT 06001,(860) 409-4310
Barkhamsted Town Clerk,P.O. Box 185 Pleasant Valley CT 06063,(860) 379-8665
Beacon Falls Town Clerk,10 Maple Avenue Beacon Falls CT 06403,(203) 729-8254
Berlin Town Clerk,240 Kensington Rd Berlin CT 06037,(860) 828-7036
Bethany,Bethany Vital Records 40 Peck Road Bethany CT 06524,(203) 393-0820
Bethel Town Clerk,One School Street Bethel CT 06801,(203) 794-8505
Bethlehem Town Clerk,P.O. Box 160 Bethlehem CT 06751,(203) 266-7510
Bloomfield Town Clerk,P.O. Box 337 Bloomfield CT 06002,(860) 769-3506
Bolton Town Clerk,222 Bolton Center Rd Bolton CT 06043,(860) 649-8066
Bozrah Town Clerk,P.O. Box 158 Bozrah CT 06334,(860) 889-2689
Branford Town Clerk,P.O. Box 150 Branford CT 06405,(203) 488-6305
Bridgeport,Bridgeport Vital Statistics 202 State Street Bridgeport CT 06604,(203) 576-8208
Bridgewater Town Clerk,P.O. Box 216 Bridgewater CT 06752,(860) 354-5102
Bristol T & City Clerk,111 North Main Street Bristol CT 06010,(860) 584-6200
Brookfield Town Clerk,P.O. Box 5106 Brookfield CT 06804,(203) 775-7313
Brooklyn Town Clerk,P.O. Box 356 Brooklyn CT 06234,(860) 774-9543
Burlington Town Clerk,200 Spielman Highway Burlington CT 06013,(860) 673-2108
Canaan Town Clerk,P.O. Box 47 Falls Village CT 06031,(860) 824-0707
Canterbury Town Clerk,P.O. Box 27 Canterbury CT 06331,(860) 546-9377
Canton Town Clerk,P.O. Box 168 Collinsville CT 06022,(860) 693-7870
Chaplin Town Clerk,P.O. Box 286 Chaplin CT 06235,(860) 455-9455
Cheshire Town Clerk,84 South Main Street Cheshire CT 06410,(203) 271-6601
Chester Town Clerk,P.O. Box 328 Chester CT 06412,(860) 526-0006
Clinton Town Clerk,54 East Main Street Clinton CT 06413,(860) 669-9101
Colchester Town Clerk,127 Norwich Avenue Colchester CT 06415,(860) 537-7215
Colebrook Town Clerk,P.O. Box 5 Colebrook Center CT 06021,(860) 379-3359
Columbia Town Clerk,323 Route 87 Columbia CT 06237,(860) 228-3284
Connecticut State Library 231 Capitol Avenue Hartford CT 06106,(860) 757-6500
Cornwall Town Clerk,P.O. Box 97 Cornwall CT 06753,(860) 672-2709
Coventry Town Clerk,1712 Main Street Coventry CT 06238,(860) 742-7966
Cromwell Town Clerk,41 West Street Cromwell CT 06416,(860) 632-3440
Danbury Town Clerk,155 Deer Hill Ave Rm 323 Danbury CT 06810,(203) 797-4531
Darien Town Clerk,Two Renshaw Road Darien CT 06820,(203) 656-7307
Deep River Town Clerk,174 Main Street Deep River CT 06417,(860) 526-6024
Derby Town Clerk,35 Fifth Street Derby CT 06418,(203) 736-1462
Durham Town Clerk,P.O. Box 428 Durham CT 06422,(860) 349-3452
East Granby Town Clerk,P.O. Box TC East Granby CT 06026,(860) 653-6528
East Haddam Town Clerk,Goodspeed Plaza PO Box K East Haddam,CT 06423,(860) 873-5027
East Hampton Town Clerk,20 East High Street East Hampton CT 06424,(860) 267-2519
East Hartford Town Clerk,740 Main Street East Hartford CT 06108,(860) 291-7230
East Haven Town Clerk,250 Main Street East Haven CT 06512,(203) 468-3201
East Lyme Town Clerk,Town Hall,P O Box 519 Niantic CT 06357,(860) 739-6931
East Windsor Town Clerk,P.O. Box 213 Broad Brook CT 06016,(860) 623-9467
Eastford Town Clerk,P.O. Box 273 Eastford CT 06242,(860) 974-1885
Easton Town Clerk,225 Center Road Easton CT 06612,(203) 268-6291
Ellington Town Clerk,P.O. Box 187 Ellington CT 06029,(860) 875-3190
Enfield Town Clerk,820 Enfield Street Enfield CT 06082,(860) 253-6440
Essex Town Clerk,P.O. Box 98 Essex CT 06426,(860) 767-4344
Fairfield Town Clerk,611 Old Post Road Fairfield CT 06430,(203) 256-3090
Farmington Town Clerk,One Monteith Drive Farmington CT 06032,(860) 673-8247
Franklin Town Clerk,7 Meeting House Hill Rd North Franklin CT 06254,(860) 642-7352
Glastonbury Town Clerk,2155 Main Street Glastonbury CT 06033,(860) 652-7616
Goshen Town Clerk,P.O. Box 54 Goshen CT 06756,(860) 491-3647
Granby Town Clerk,15 North Granby Road Granby CT 06035,(860) 653-8949
Greenwich,Greenwich Vital Statistics P.O. Box 2540 Greenwich CT 06830,(203) 622-7869
Griswold Town Clerk,P.O. Box 369 Jewett City CT 06351,(860) 376-7063
Groton Town Clerk,45 Fort Hill Road Groton CT 06340,(860) 441-6640
