Town,Date Updated,At least one census tract SVI≥0.75,Estimated population,Estimated population aged 75 and above,County,First doses,First doses aged 75 and above,First Dose Coverage,First Dose Coverage among those aged 75 and above
Andover,02/10/2021,No,3236,137,Tolland,253,86,0.0782,0.6277
Ansonia,02/10/2021,Yes,18654,1284,New Haven,1414,508,0.0758,0.3956
Ashford,02/10/2021,No,4255,186,Windham,373,131,0.0877,0.7043
Avon,02/10/2021,No,18276,1549,Hartford,2807,1049,0.1536,0.6772
Barkhamsted,02/10/2021,No,3606,193,Litchfield,343,87,0.0951,0.4508
Beacon Falls,02/10/2021,No,6222,290,New Haven,764,285,0.1228,0.9828
Berlin,02/10/2021,No,20436,1830,Hartford,2513,930,0.123,0.5082
Bethany,02/10/2021,No,5548,356,New Haven,811,264,0.1462,0.7416
Bethel,02/10/2021,No,19800,1122,Fairfield,1723,632,0.087,0.5633
Bethlehem,02/10/2021,No,3402,234,Litchfield,395,122,0.1161,0.5214
Bloomfield,02/10/2021,No,21211,2584,Hartford,3487,1721,0.1644,0.666
Bolton,02/10/2021,No,4884,286,Tolland,499,223,0.1022,0.7797
Bozrah,02/10/2021,No,2726,178,New London,365,158,0.1339,0.8876
Branford,02/10/2021,No,27900,2747,New Haven,4396,1814,0.1576,0.6604
Bridgeport,02/10/2021,Yes,144399,6914,Fairfield,6880,2232,0.0476,0.3228
Bridgewater,02/10/2021,No,1635,167,Litchfield,250,139,0.1529,0.8323
Bristol,02/10/2021,Yes,59947,4733,Hartford,5828,2074,0.0972,0.4382
Brookfield,02/10/2021,No,16973,1007,Fairfield,1784,750,0.1051,0.7448
Brooklyn,02/10/2021,No,8272,541,Windham,835,407,0.1009,0.7523
Burlington,02/10/2021,No,9704,342,Hartford,1106,303,0.114,0.886
Canaan,02/10/2021,No,1053,183,Litchfield,115,37,0.1092,0.2022
Canterbury,02/10/2021,No,5079,222,Windham,459,167,0.0904,0.7523
Canton,02/10/2021,No,10254,708,Hartford,1188,446,0.1159,0.6299
Chaplin,02/10/2021,No,2239,116,Windham,192,69,0.0858,0.5948
Cheshire,02/10/2021,No,28937,2154,New Haven,4696,1506,0.1623,0.6992
Chester,02/10/2021,No,4213,494,Middlesex,692,363,0.1643,0.7348
Clinton,02/10/2021,No,12925,820,Middlesex,1559,605,0.1206,0.7378
Colchester,02/10/2021,No,15809,793,New London,1760,657,0.1113,0.8285
Colebrook,02/10/2021,No,1400,94,Litchfield,146,59,0.1043,0.6277
Columbia,02/10/2021,No,5379,340,Tolland,640,249,0.119,0.7324
Cornwall,02/10/2021,No,1362,140,Litchfield,204,117,0.1498,0.8357
Coventry,02/10/2021,No,12407,500,Tolland,1043,347,0.0841,0.694
Cromwell,02/10/2021,No,13839,1334,Middlesex,2184,866,0.1578,0.6492
Danbury,02/10/2021,Yes,84694,4384,Fairfield,5814,2202,0.0686,0.5023
Darien,02/10/2021,No,21728,1126,Fairfield,1893,942,0.0871,0.8366
