OBJECTID,GEOID10,CTTractID,DateUpdate,TractTown,Cov_16Plus,Cov_16_44,Cov_45_64,Cov_65Plus,needvac_16_plus,needvac_16_44,needvac_45_64,needvac_65_plus
1,09001030300,CT09001030300,5/26/2021,Darien,82.3646629,79.11825017,81.46775389,84.41558442,531,244,250,84
2,09001035300,CT09001035300,5/26/2021,New Canaan,88.5475793,83.9004298,87.9811469,100,343,180,153,0
3,09001011000,CT09001011000,5/26/2021,Greenwich,84.16347382,81.87336184,86.02985075,85.84298584,620,263,234,110
4,09001030100,CT09001030100,5/26/2021,Darien,89.93660856,98.54483201,82.78829604,81.99152542,254,14,200,85
5,09001030200,CT09001030200,5/26/2021,Darien,89.87538941,77.59543346,88.97126969,100,260,251,119,0
6,09001030400,CT09001030400,5/26/2021,Darien,82.41793955,75.6477483,87.06382979,87.9338843,541,316,152,73
7,09001030500,CT09001030500,5/26/2021,Darien,85.06524891,83.48594204,82.01027984,91.43835616,618,307,315,50
8,09001105100,CT09001105100,5/26/2021,Easton,78.10852713,97.43469052,72.05180641,69.67032967,706,22,410,276
9,09001105200,CT09001105200,5/26/2021,Easton,70.68906411,65.70939521,66.43356643,82.1656051,855,361,432,112
10,09001060100,CT09001060100,5/26/2021,Fairfield,58.91768293,56.8358209,76.03036876,56.72913118,1617,723,221,508
11,09001060200,CT09001060200,5/26/2021,Fairfield,75.71265678,71.96847861,72.1438646,82.92134831,852,349,395,152
12,09001060300,CT09001060300,5/26/2021,Fairfield,86.43086817,83.1241033,85.06998445,92.25449516,422,188,192,56
13,09001060400,CT09001060400,5/26/2021,Fairfield,82.98235629,97.89710086,74.48036952,80.94660194,598,21,442,157
14,09001060500,CT09001060500,5/26/2021,Fairfield,90.4597133,85.29726834,85.33916849,100,193,110,134,0
15,09001060600,CT09001060600,5/26/2021,Fairfield,85.78838174,80.91748965,81.18811881,92.70664506,274,120,133,45
16,09001045300,CT09001045300,5/26/2021,Wilton,91.16202946,89.15627718,83.25,100,162,75,134,0
17,09001045400,CT09001045400,5/26/2021,Wilton,86.8622449,89.53033268,82.03125,87.06099815,309,86,184,70
18,09001230502,CT09001230502,5/26/2021,Newtown,67.54153624,59.5476499,62.71576525,92.50985545,1348,687,648,57
19,09001230501,CT09001230501,5/26/2021,Newtown,80.26641884,74.50124688,73.87276096,100,637,327,423,0
20,09001210702,CT09001210702,5/26/2021,Danbury,65.7209033,56.57991782,68.66396761,95.8677686,1184,824,387,15
21,09001210701,CT09001210701,5/26/2021,Danbury,67.22477064,60.80373681,70.69096431,91.07806691,1429,973,386,48
22,09001257200,CT09001257200,5/26/2021,Bridgeport,45.90725179,37.22860066,53.89797883,61.03286385,1738,1104,479,166
23,09001060700,CT09001060700,5/26/2021,Fairfield,56.51018601,41.54882501,86.62379421,87.37373737,2946,2273,208,125
24,09001060800,CT09001060800,5/26/2021,Fairfield,85.82136165,82.31068542,87.62057878,82.05882353,227,118,77,61
